quarter,period_end,gov_cr,nov_cr,orders_m,aov_inr,aov_type,dark_stores,monthly_transacting_customers_m,revenue_cr,contribution_profit_cr,contribution_margin_pct,adj_ebitda_cr,metric_note,source
Q1 FY24,2023-06-30,2140,,36.8,582,gross,383,3.9,384,-28,-1.3,-133,,Eternal Q1 FY24 Shareholder Letter filed 2023-08-03
Q2 FY24,2023-09-30,2760,,45.5,607,gross,411,4.7,505,36,1.3,-125,,Eternal Q2 FY24 Shareholder Letter filed 2023-11-03
Q3 FY24,2023-12-31,3542,,55.8,635,gross,451,5.4,644,86,2.4,-89,,Eternal Q3 FY24 Shareholder Letter filed 2024-02-08
Q4 FY24,2024-03-31,4027,,65.3,617,gross,526,6.4,769,157,3.9,-37,,Eternal Q4 FY24 Shareholder Letter filed 2024-05-13
Q1 FY25,2024-06-30,4923,,78.8,625,gross,639,7.6,942,197,4.0,-3,,Eternal Q1 FY25 Shareholder Letter filed 2024-08-01
Q2 FY25,2024-09-30,6132,,92.9,660,gross,791,8.9,1156,233,3.8,-8,,Eternal Q2 FY25 Shareholder Letter filed 2024-10-22
Q3 FY25,2024-12-31,7798,,110.3,707,gross,1007,10.6,1399,296,3.8,-103,,Eternal Q3 FY25 Shareholder Letter filed 2025-01-16
Q4 FY25,2025-03-31,9421,,141.7,665,gross,1301,13.7,1709,367,3.9,-178,,Eternal Q4 FY25 Shareholder Letter filed 2025-05-13
Q1 FY26,2025-06-30,11821,9230,176.0,669,gross,1544,22.9,2400,,,-162,GOV and NOV both reported; 1P transition began,Eternal Q1 FY26 Shareholder Letter filed ~2025-08
Q2 FY26,2025-09-30,,11679,,660,gross,1816,20.8,9891,,,-156,~80% 1P model; GOV not explicitly reported,Eternal Q2 FY26 Shareholder Letter filed ~2025-10
Q3 FY26,2025-12-31,,13300,243.0,547,net,2027,24.9,12256,,30.0,4,~90% 1P; first EBITDA-positive quarter; AOV switched to net,Eternal Q3 FY26 Shareholder Letter filed ~2026-01
Q4 FY26,2026-03-31,,14386,273.9,525,net,2243,27.2,13232,,,37,AOV is net; EBITDA positive,Eternal Q4 FY26 Shareholder Letter filed ~2026-05
Q1 FY27,2026-06-30,,17132,331.0,518,net,2443,31.8,15664,907,5.3,102,AOV is net; contribution margin 5.3%,Eternal Q1 FY27 Shareholder Letter filed ~2026-08
