metric,value,unit,year,source,source_date,is_assumption,note
urban_population_census_2011,377106125,persons,2011,"Census of India 2011, ORGI",2012,false,"31.16% of total 1.21B"
urban_population_projected_2026,513500000,persons,2026,"MoHFW Technical Group Population Projections 2011-2036",2020-07,false,"Official GoI projection at 36.0% urbanization"
urban_household_size_nfhs5,4.2,persons/household,2019-2021,"NFHS-5, MoHFW & IIPS",2022-03,false,"Rural: 4.5; All-India: 4.4"
urban_households_derived,122261905,households,2026,"Derived: 513.5M / 4.2",2026,false,"~122.3 million"
tier1_population_projected,130000000,persons,2026,"Census 2011 top-8 metros projected at 1.83% CAGR (MoHFW)",2020-07,false,"Delhi-NCR Mumbai Bengaluru Hyderabad Chennai Kolkata Pune Ahmedabad"
tier2_top70_population_projected,140000000,persons,2026,"Census 2011 next-70 cities projected at MoHFW urban CAGR",2020-07,false,"Cities ranked 9-78 by urban agglomeration population"
urban_internet_subscribers,556050000,subscribers,2024-03,"TRAI Performance Indicators FY2023-24",2024-08,false,"58.3% of total internet subscribers"
urban_smartphone_penetration_hh,0.855,fraction,2023-2024,"MoSPI PLFS 2023-24 and PIB",2024-10,false,"85.5% of urban households own at least one smartphone"
online_shoppers_national,270000000,persons,2024,"Bain & Company How India Shops Online 2024",2024,false,"Annual transacting online shoppers"
middle_class_plus_urban_share,0.58,fraction,2021,"PRICE ICE 360 Survey 2023",2023,true,"55-60% of urban HH are middle class or above (income >Rs 5L/year)"
nccs_ab_urban_share,0.395,fraction,2024,"MRSI/MRUC IRS & ISEC 2024",2024,false,"~38-41% of urban HH in SEC A+B"
upi_txn_volume_fy25,185870000000,transactions,FY25,"NPCI UPI Product Statistics",2025-04,false,"18586.60 crore transactions"
upi_txn_value_fy25_cr,26056000000,INR crore,FY25,"NPCI UPI Product Statistics",2025-04,false,"Rs 260.56 lakh crore"
